asset,tf,leverage,channel,sl_atr,rr,adx_min,rsi,macd,vol,return_pct,monthly_pct,wr,actual_rr,trades,liqs,ev,portfolio
ETHUSDT,1h,10,8,2.0,2.0,0.0,on,off,off,83.32,2.559,31.08,2.365,74,0,0.046,conservative
XRPUSDT,1h,10,16,1.0,3.0,0.0,off,off,off,289.41,5.833,20.0,6.292,45,0,0.4583,conservative
BTCUSDT,4h,10,8,1.5,2.0,0.0,on,on,off,86.73,2.639,47.14,1.458,210,0,0.1589,conservative
BNBUSDT,4h,10,16,1.5,3.0,25.0,on,off,off,60.62,1.996,43.93,1.619,107,0,0.1506,conservative
ADAUSDT,4h,10,16,2.0,2.5,0.0,on,on,off,43.29,1.511,44.02,1.284,184,7,0.0055,conservative
ETHUSDT,1h,20,12,1.0,2.5,0.0,on,on,off,240.38,5.241,24.0,5.607,50,0,0.5857,optimal
XRPUSDT,1h,20,12,1.5,2.5,0.0,off,off,off,650.18,8.767,29.11,8.542,79,0,1.7781,optimal
BTCUSDT,4h,10,8,1.5,2.0,0.0,on,on,off,86.73,2.639,47.14,1.458,210,0,0.1589,optimal
BNBUSDT,4h,10,16,1.5,3.0,25.0,on,off,off,60.62,1.996,43.93,1.619,107,0,0.1506,optimal
ADAUSDT,4h,5,8,2.0,2.5,0.0,off,on,off,53.28,1.797,46.51,1.39,172,0,0.1115,optimal
ETHUSDT,1h,10,8,2.0,2.0,0.0,on,off,on,-17.3,-0.789,38.7,0.958,230,0,-0.2423,conservative_vol
XRPUSDT,1h,10,16,1.0,3.0,0.0,off,off,on,-24.88,-1.186,17.14,0.522,35,0,-0.7391,conservative_vol
BTCUSDT,4h,10,8,1.5,2.0,0.0,on,on,off,86.73,2.639,47.14,1.458,210,0,0.1589,conservative_vol
BNBUSDT,4h,10,16,1.5,3.0,25.0,on,off,off,60.62,1.996,43.93,1.619,107,0,0.1506,conservative_vol
ADAUSDT,4h,10,16,2.0,2.5,0.0,on,on,off,43.29,1.511,44.02,1.284,184,7,0.0055,conservative_vol
ETHUSDT,1h,20,12,1.0,2.5,0.0,on,on,on,-31.11,-1.542,21.67,0.584,60,0,-0.6567,optimal_vol
XRPUSDT,1h,20,12,1.5,2.5,0.0,off,off,on,105.36,3.046,35.67,1.247,356,28,-0.1982,optimal_vol
BTCUSDT,4h,10,8,1.5,2.0,0.0,on,on,off,86.73,2.639,47.14,1.458,210,0,0.1589,optimal_vol
BNBUSDT,4h,10,16,1.5,3.0,25.0,on,off,off,60.62,1.996,43.93,1.619,107,0,0.1506,optimal_vol
ADAUSDT,4h,5,8,2.0,2.5,0.0,off,on,off,53.28,1.797,46.51,1.39,172,0,0.1115,optimal_vol
